phrase1,phrase2,sentence1,sentence2,label,idx
offensive element,insulting feature,The Swiss pikemen were to bring a change of paradigm by reintroducing the offensive element into pike warfare.,The Swiss pikemen were to bring a change of paradigm by reintroducing the insulting feature into pike warfare.,0,619
either year,both of the years,"the girls who take part are in either year 10, 11 or 12 at high school (i.e.","the girls who take part are in both of the years 10, 11 or 12 at high school (i.e.",0,1106
good mates,ideal reproductive partners,"It also interferes with the sense of smell in fish, thus preventing them from choosing good mates or finding their way to mating areas.","It also interferes with the sense of smell in fish, thus preventing them from choosing ideal reproductive partners or finding their way to mating areas.",1,1935
subject states,represented territories,A review of the subject states that the scenario begins with a wife who purchases some bargain-priced cigars for her husband.,A review of the represented territories that the scenario begins with a wife who purchases some bargain-priced cigars for her husband.,0,809
larger pool,Greater collection,"Large diameter wicks typically result in a larger flame, a larger pool of melted wax, and the candle burning faster.","Large diameter wicks typically result in a larger flame, a Greater collection of melted wax, and the candle burning faster.",0,1037
click models,a fashion company,click models that abide by “top-down” user click behavior cannot interpret the user process of revisiting pages.,a fashion company that abide by “top-down” user click behavior cannot interpret the user process of revisiting pages.,0,72
peripheral part,exterior portion,"Damage to the peripheral part of the abducens nerve will cause double vision (diplopia), due to the unopposed muscle tone of the medial rectus muscle.","Damage to the exterior portion of the abducens nerve will cause double vision (diplopia), due to the unopposed muscle tone of the medial rectus muscle.",1,1283
dream state,fantasy mood,"The issue begins with Logan, in a dream state, encountering a Panda who claims that he is Logan's Spirit Animal.","The issue begins with Logan, in a fantasy mood, encountering a Panda who claims that he is Logan's Spirit Animal.",0,1271
blue boxes,azure receptacles,"Jobs, in a 1994 interview, recalled that it took six months for him and Wozniak to figure out how to build the blue boxes.","Jobs, in a 1994 interview, recalled that it took six months for him and Wozniak to figure out how to build the azure receptacles.",0,1334
lift program,heave scheme,Equipped with elevators for fully accessible access is not planned until the lift program is completed on the rest of the metro network.,Equipped with elevators for fully accessible access is not planned until the heave scheme is completed on the rest of the metro network.,0,1458
cultural protection,anthropological preservation,A special area covering cultural protection covers about 8 km² within the Inner Vassfaret landscape protection area.,A special area covering anthropological preservation covers about 8 km² within the Inner Vassfaret landscape protection area.,1,481
current body,live physical frame,"The Landtag has existed in various forms since 1831, but the current body was established during German reunification in 1990.","The Landtag has existed in various forms since 1831, but the live physical frame was established during German reunification in 1990.",0,1068
overall loss,all-inclusive deprivation,"It was highly lauded by critics upon its original release but was a box office bomb, making an overall loss.","It was highly lauded by critics upon its original release but was a box office bomb, making an all-inclusive deprivation.",0,506
main approach,primary way,It is the main approach to York Minster for visitors arriving from York railway station.,It is the primary way to York Minster for visitors arriving from York railway station.,1,1237
subordinate role,a lower-ranking position,"A counter-melody performs a subordinate role, and is typically heard in a texture consisting of a melody plus accompaniment.","A counter-melody performs a a lower-ranking position, and is typically heard in a texture consisting of a melody plus accompaniment.",0,1861
smallest mark,merest price raise,One prisoner recalls Boonpong was the merchant with the lowest prices and the smallest mark up.,One prisoner recalls Boonpong was the merchant with the lowest prices and the merest price raise up.,1,1989
clear field,space that is unobstructed,Such was the volume and impact of Griffith's propaganda that hardcore republicans were reluctant to leave him a clear field to spread his unorthodox message.,Such was the volume and impact of Griffith's propaganda that hardcore republicans were reluctant to leave him a space that is unobstructed to spread his unorthodox message.,0,1476
uninterrupted sequence,unencumbered development,"If a player holds a certain number of the highest trump cards in uninterrupted sequence, they are called matadors (""Laufende"", ""Bauern"" or ""Herren"").","If a player holds a certain number of the highest trump cards in unencumbered development, they are called matadors (""Laufende"", ""Bauern"" or ""Herren"").",0,1866
local traditions,area's lore,"A place called Shukachari is believed to be the cave of Shuka, where he disappeared in cave stones as per local traditions.","A place called Shukachari is believed to be the cave of Shuka, where he disappeared in cave stones as per area's lore.",1,1455
released material,Expelled matter,The impact released a lot of energy and then the released material re-accreted into the Earth–Moon system.,The impact released a lot of energy and then the Expelled matter re-accreted into the Earth–Moon system.,1,311
major degrees,full degrees,"While Mines does offer minor degrees in the humanities, arts, and social sciences, it only offers major degrees in STEM fields.","While Mines does offer minor degrees in the humanities, arts, and social sciences, it only offers full degrees in STEM fields.",1,962
family functions,familial tasks,"The royal family celebrated the Hindu festival of Dussera and Gangaur here, apart from celebrating other family functions such as birthdays and marriages.","The royal family celebrated the Hindu festival of Dussera and Gangaur here, apart from celebrating other familial tasks such as birthdays and marriages.",0,405
pressure valve,relief outlet,At the same time emigration (which acted as a pressure valve for political tension) decreased by more than half.,At the same time emigration (which acted as a relief outlet for political tension) decreased by more than half.,1,1330
irregular strip,atypical segment,The irregular strip has been used recently in occasional 'heritage' matches (e.g.,The atypical segment has been used recently in occasional 'heritage' matches (e.g.,0,1649
entire post,entire after,They remain the only team to sweep the entire post-season since the inception of the league championship series in 1969.,They remain the only team to sweep the entire after-season since the inception of the league championship series in 1969.,1,309
current setting,present controls,"With the same current setting, the pyrometer is sighted on another black-body at a higher temperature.","With the same present controls, the pyrometer is sighted on another black-body at a higher temperature.",1,226
sternal side,insect section,"""L. japonica"" navigate using a trail system marked with a gland secretion from their sternal side, though travel is disorganized and mostly individual.","""L. japonica"" navigate using a trail system marked with a gland secretion from their insect section, though travel is disorganized and mostly individual.",1,1857
ideal light,approving way,"There he worked as a journalist who showed Nazi Germany in an ideal light and contributed on that theme to the ""National Geographic Magazine"".","There he worked as a journalist who showed Nazi Germany in an approving way and contributed on that theme to the ""National Geographic Magazine"".",1,710
internal authority,control within,"Unlike other British officials, he did not suggest changes in the customs or internal authority of Al Khalifa.","Unlike other British officials, he did not suggest changes in the customs or control within of Al Khalifa.",0,1943
regular period,consistent frequency,"It is common to have bleeding in early pregnancy, this is associated with implantation bleeding and can be mistaken for a regular period.","It is common to have bleeding in early pregnancy, this is associated with implantation bleeding and can be mistaken for a consistent frequency.",0,1383
3d series,these shows,wildearth and sasashani also distribute 3d series and shows through 3d content hub.,wildearth and sasashani also distribute these shows and shows through 3d content hub.,1,1785
plant rooms,data centers,Theodore Horstmann is an orchid expert who assists Wolfe in the plant rooms.,Theodore Horstmann is an orchid expert who assists Wolfe in the data centers.,0,148
last charge,final expenditure,There is a utilization goal (on Yui Rail) of 60% by 2024.The card expires 10 years after last charge or use of card.,There is a utilization goal (on Yui Rail) of 60% by 2024.The card expires 10 years after final expenditure or use of card.,1,1554
one vice,1 bad habit,Each continental confederation may nominate one vice-president if it has at least 23 national federations as full members.,Each continental confederation may nominate 1 bad habit-president if it has at least 23 national federations as full members.,0,1956
totally different character,wholly dissimilar attribute,"He told Sean Whittington from ""Sunday Mail TV Plus"" that ""he played a totally different character and we're totally different in real life.","He told Sean Whittington from ""Sunday Mail TV Plus"" that ""he played a wholly dissimilar attribute and we're totally different in real life.",0,925
first scoop,initial serving,"His wife filled in the first scoop of dirt, followed by the government ministers.","His wife filled in the initial serving of dirt, followed by the government ministers.",0,942
first pillar,starting step,The construction of the first pillar was completed by October 2017 and construction work of up to ten pillars was underway.,The construction of the starting step was completed by October 2017 and construction work of up to ten pillars was underway.,0,836
master-slave relationship,commander and operatives mechanism,"Database replication can be used on many database management systems (DBMS), usually with a master-slave relationship between the original and the copies.","Database replication can be used on many database management systems (DBMS), usually with a commander and operatives mechanism between the original and the copies.",1,575
original voice,first to narrate,"Felton was the original voice of Fred Flintstone's mother-in-law, Pearl Slaghoople, voicing the character as a semi-regular on Hanna-Barbera's ""The Flintstones"" from 1962 to 1963.","Felton was the first to narrate of Fred Flintstone's mother-in-law, Pearl Slaghoople, voicing the character as a semi-regular on Hanna-Barbera's ""The Flintstones"" from 1962 to 1963.",1,557
resting time,idle moment,"The suburb was named ""Inala"" by the Queensland Surveyor-General on 10 January 1952, using a Bundjalung word meaning ""resting time"" or ""night time"".","The suburb was named ""Inala"" by the Queensland Surveyor-General on 10 January 1952, using a Bundjalung word meaning ""idle moment"" or ""night time"".",1,1235
core sequence,root chain,Cyclothiazomycin B and C vary from cyclothiazomycin A at the second and third threonine residues in the core sequence of the precursor peptide.,Cyclothiazomycin B and C vary from cyclothiazomycin A at the second and third threonine residues in the root chain of the precursor peptide.,1,1360
independent operation,unaided maneuvering,"TMP (Tony Michaelides Promotions) – In 1982 Michaelides began an independent operation named TMP on Princess Street, Manchester.","TMP (Tony Michaelides Promotions) – In 1982 Michaelides began an unaided maneuvering named TMP on Princess Street, Manchester.",0,1347
channel systems,route structures,"Now, they have separate deltas with many lakes and swamps and intricately webbed channel systems.","Now, they have separate deltas with many lakes and swamps and intricately webbed route structures.",0,1161
landing mat,principal working airfield,"Gymnasts are expected to land cleanly, with no hops or steps, and within a set landing zone on the landing mat.","Gymnasts are expected to land cleanly, with no hops or steps, and within a set landing zone on the principal working airfield.",0,1442
entire unit,complete system,"Early in 1814, the entire unit concentrated at Montreal, and was built back up to strength.","Early in 1814, the complete system concentrated at Montreal, and was built back up to strength.",0,286
bitter street,angry road,"steel's debut album, ""bitter street"" was produced by graham bidstrup and released in september 1989.","steel's debut album, ""angry road"" was produced by graham bidstrup and released in september 1989.",0,1604
added support,included a means,"Version 10.5 added support for adaptive bitrate streaming; also, limit of concurrent connections in a free version was reduced to 10 connections.","Version 10.5 included a means for adaptive bitrate streaming; also, limit of concurrent connections in a free version was reduced to 10 connections.",1,1057
extensive record,impressive history,Ms. Goodling's characterization of my testimony is wrong and not supported by the extensive record of documents and testimony already provided to Congress.,Ms. Goodling's characterization of my testimony is wrong and not supported by the impressive history of documents and testimony already provided to Congress.,0,598
couple members,married partners,"They merged with the Non-Partisan League of Alberta, which had formed before the 1917 general election and had elected a couple members.","They merged with the Non-Partisan League of Alberta, which had formed before the 1917 general election and had elected a married partners.",0,932
evil eyes,bad omens,"in 2003, the evil eyes deployed from august 22, 2003 to march 8, 2004 with the 13th marine expeditionary unit.","in 2003, the bad omens deployed from august 22, 2003 to march 8, 2004 with the 13th marine expeditionary unit.",0,1461
large beam,very long girder,Louie pauses during work and is punished by Watanabe making him lift a large beam and hold it over his head.,Louie pauses during work and is punished by Watanabe making him lift a very long girder and hold it over his head.,1,1637
usual place,regular position,The square was a usual place to fusillade and execute political enemies and conspirators of the Spanish colonial government.,The square was a regular position to fusillade and execute political enemies and conspirators of the Spanish colonial government.,0,1587
full contact,person-on-person,"Founded in 2013, the Rutgers Nearly Headless Knights play in a full contact, co-Ed league as a club sport team for the University.","Founded in 2013, the Rutgers Nearly Headless Knights play in a person-on-person, co-Ed league as a club sport team for the University.",1,1040
one slip,a fall,"one slip marked 'yes', one 'no' and one was blank.","a fall marked 'yes', one 'no' and one was blank.",0,1230
major importance,critical significance,"Starting in May 1940, ground training for junior officers, newly arrived at France Field, became of major importance.","Starting in May 1940, ground training for junior officers, newly arrived at France Field, became of critical significance.",1,806
supply water,furnish H2O,"The cooling tower is able to chill the supply water using only the outdoor air, without any chiller.","The cooling tower is able to chill the furnish H2O using only the outdoor air, without any chiller.",0,904
lengthy set,Extensive collection,It was named for the lengthy set of steps to reach the tracks from Walnut Hill.,It was named for the Extensive collection of steps to reach the tracks from Walnut Hill.,1,1679
one donor,a financial benefactor,"one donor gave $51.7 million to the group in 2018, while another donor gave $26.7 million and a third gave $10 million.","a financial benefactor gave $51.7 million to the group in 2018, while another donor gave $26.7 million and a third gave $10 million.",1,1204
unknown charge,unverified accusation,The run-down phase is then used to measure this unknown charge to determine the unknown voltage.,The run-down phase is then used to measure this unverified accusation to determine the unknown voltage.,0,767
rule enforcement,imposing regulations,"""Rule 48 – Illegal Check to the Head""
New NHL standard of rule enforcement, 2005–06.","""Rule 48 – Illegal Check to the Head""
New NHL standard of imposing regulations, 2005–06.",0,609
huge load,massive shipment,"The Assassin finds a huge load of weapons arriving from Firenze and opens one of the crates, which he discovers is filled with Corvix Blades.","The Assassin finds a massive shipment of weapons arriving from Firenze and opens one of the crates, which he discovers is filled with Corvix Blades.",1,1992
typical formation,usual structure,"The typical formation at this time was as shown below, with car 1 at the Kumamoto end.","The usual structure at this time was as shown below, with car 1 at the Kumamoto end.",1,1564
split tracks,divided recordings,"""Short Skirt/Long Jacket"" is used in a series of split tracks on the electronic card mixing game DropMix by Hasbro.","""Short Skirt/Long Jacket"" is used in a series of divided recordings on the electronic card mixing game DropMix by Hasbro.",1,1422
simple push,basic push,"This microduct is then connected, using a simple push/pull connector, to a microduct that branches to the desired location.","This microduct is then connected, using a basic push/pull connector, to a microduct that branches to the desired location.",1,1010
older account,above make up,Ursus was killed either at Aosta (according to the older account) or Augsburg (according to the 11th-century account).,Ursus was killed either at Aosta (according to the above make up) or Augsburg (according to the 11th-century account).,0,493
single spring,sole coil,"The X52 uses only a single spring mounted vertically to keep it centered, while the X52 Pro uses dual springs for stronger centering.","The X52 uses only a sole coil mounted vertically to keep it centered, while the X52 Pro uses dual springs for stronger centering.",1,1320
huge load,large pile,This has been done in anticipation of a huge load of applications and the need to prioritize data collection about all applications.,This has been done in anticipation of a large pile of applications and the need to prioritize data collection about all applications.,1,277
defensive line,football defense position,"On January 15, Larry Johnson was brought onto the Ohio State staff as the defensive line and assistant head coach.","On January 15, Larry Johnson was brought onto the Ohio State staff as the football defense position and assistant head coach.",1,1846
archbishop's chair,high priest's throne,Landulf's polemics were directed against Matilda's Patarian partisans for the archbishop's chair in Milan.,Landulf's polemics were directed against Matilda's Patarian partisans for the high priest's throne in Milan.,0,358
one post,a singular after,"They pass through four or five zoeal stages and one post-larval, glaucothoe stage before sinking to the bottom and metamorphosing into juveniles.","They pass through four or five zoeal stages and a singular after-larval, glaucothoe stage before sinking to the bottom and metamorphosing into juveniles.",1,1110
active element,Operating unit,"Converted back into infantry in 2010, the only active element of the regiment is the 1st Battalion, 182d Infantry Regiment.","Converted back into infantry in 2010, the only Operating unit of the regiment is the 1st Battalion, 182d Infantry Regiment.",1,236
one or both sides,one or both parties,The higher order local streets and the major roads mostly have paved footpaths on one or both sides.,The higher order local streets and the major roads mostly have paved footpaths on one or both parties.,0,551
main head,chief of household,"He can breathe fire from its main head, shoot electricity from the dragon-like heads, and breathe steam from its extra mouth.","He can breathe fire from its chief of household, shoot electricity from the dragon-like heads, and breathe steam from its extra mouth.",0,1867
big threat,huge menace,And running back Sidney Thornton also emerged as a big threat with 816 total yards and averaging 5 yards per carry.,And running back Sidney Thornton also emerged as a huge menace with 816 total yards and averaging 5 yards per carry.,1,1812
major breaches,significant infringement,"Suspension is a common practice in the workplace for being in violation of an organization's policy, or major breaches of policy.","Suspension is a common practice in the workplace for being in violation of an organization's policy, or significant infringement of policy.",1,208
one compound,1 mixture,They also claimed that the loyalist-held area in greater Tripoli had been reduced to just one compound.,They also claimed that the loyalist-held area in greater Tripoli had been reduced to just 1 mixture.,0,1386
earlier record,established history,The earlier record was 24-1 made 86 years ago in the 1932 Olympics when India outclassed the USA.,The established history was 24-1 made 86 years ago in the 1932 Olympics when India outclassed the USA.,0,1560
permit process,allowed court document,The permit process required that the bear be taken from an area with quotas based on sound management principles.,The allowed court document required that the bear be taken from an area with quotas based on sound management principles.,0,58
typical design,traditional depiction,Considering the effectiveness of all these emotions Krause describes the typical design of interpersonal relationships in different contexts.,Considering the effectiveness of all these emotions Krause describes the traditional depiction of interpersonal relationships in different contexts.,0,631
concentrated energy,harnessed groove,"In """" (1981), Robert Christgau described the album as a ""romantically inclined sample"" of ""the concentrated energy of Memphis power pop.""","In """" (1981), Robert Christgau described the album as a ""romantically inclined sample"" of ""the harnessed groove of Memphis power pop.""",1,1961
direct derivative,straight outgrowth,By the 1990s some gaming historians including David Parlett started to challenge the notion that poker is a direct derivative of As-Nas.,By the 1990s some gaming historians including David Parlett started to challenge the notion that poker is a straight outgrowth of As-Nas.,1,1859
complete turn,total 180 degree change,"Although the tempo of the music may be frenetic, the upper body is kept steady and turns are slow, typically four beats/steps per complete turn.","Although the tempo of the music may be frenetic, the upper body is kept steady and turns are slow, typically four beats/steps per total 180 degree change.",0,1816
date records,dated albums,This in turn has provided to date records and documents of water data over the years.,This in turn has provided to dated albums and documents of water data over the years.,0,363
long relationship,dedicated romance,This shrine has a long relationship with the Japanese royal family and the dynasty.,This shrine has a dedicated romance with the Japanese royal family and the dynasty.,0,505
overall colony,general territory,"New Amsterdam and the overall colony of New Netherland was renamed New York, after the Duke of York.","New Amsterdam and the general territory of New Netherland was renamed New York, after the Duke of York.",1,1165
extreme tip,last bit,"The protoconch consists of 3½ very small turbinate whorls, of which the extreme tip is immersed and tabulate.","The protoconch consists of 3½ very small turbinate whorls, of which the last bit is immersed and tabulate.",1,1121
desired course,preferred route,"When unable to find a desired course, students may start an ""independent study"".","When unable to find a preferred route, students may start an ""independent study"".",0,1629
one sweep,one broom,The coding process is rarely completed from one sweep through the data.,The coding process is rarely completed from one broom through the data.,0,1216
us practice,American customs,pegg speculates 'possibly in line with the us practice of cutting down track numbers to reduce publishing royalties'.,pegg speculates 'possibly in line with the American customs of cutting down track numbers to reduce publishing royalties'.,0,1151
particular structure,certain form,"If particular structure is embodied, the probability of its selection in the future increases.","If certain form is embodied, the probability of its selection in the future increases.",1,1124
greater clarity,increased decipherability,She saw the need for anti-slavery legislation and means to affect greater equality for African Americans in greater clarity as a mother.,She saw the need for anti-slavery legislation and means to affect greater equality for African Americans in increased decipherability as a mother.,0,1594
fixed property,non-changing characteristic,"Prior to the liquidation of a company, the defendant and one ""H,"" the sole directors and shareholders, had sold the fixed property of the company.","Prior to the liquidation of a company, the defendant and one ""H,"" the sole directors and shareholders, had sold the non-changing characteristic of the company.",0,118
special board,specifically designed platform,The gun was removed and sent back to the Naval Gun Factory to be examined by a special board.,The gun was removed and sent back to the Naval Gun Factory to be examined by a specifically designed platform.,0,1249
perhaps one,possibly a singular one,"This is a political position – perhaps one that not everyone will agree with, but one that we are constitutionally entitled to hold.""","This is a political position – possibly a singular one that not everyone will agree with, but one that we are constitutionally entitled to hold.""",1,1993
outer coat,surface layer,"When searching a person in a public place a constable may require a person to remove an outer coat, jacket, gloves, headgear or footwear.","When searching a person in a public place a constable may require a person to remove an surface layer, jacket, gloves, headgear or footwear.",0,522
special position,privileged position,"Ingredient-branding takes a special position in marketing, as it cannot be clearly allocated to either industrial or consumer goods marketing.","Ingredient-branding takes a privileged position in marketing, as it cannot be clearly allocated to either industrial or consumer goods marketing.",0,513
dull game,tedious pastime,A dull game lit up in the last ten minutes when Michael Mifsud put the Reds in front with his first goal for the club.,A tedious pastime lit up in the last ten minutes when Michael Mifsud put the Reds in front with his first goal for the club.,0,81
spring rain,budding drizzle,"The spring rain, though less copious, is more important to agriculture than the winter rain, unless where the latter falls in the form of snow.","The budding drizzle, though less copious, is more important to agriculture than the winter rain, unless where the latter falls in the form of snow.",0,915
clean house,immaculate dwelling,Goldin apparently had intentions to clean house; his plans included the sacking of most of the University's top administrators.,Goldin apparently had intentions to immaculate dwelling; his plans included the sacking of most of the University's top administrators.,0,1018
second function,different event,"About the second function of eating/drinking, or diet, Dr. Hashimoto advocated a simple macrobiotic diet.","About the different event of eating/drinking, or diet, Dr. Hashimoto advocated a simple macrobiotic diet.",0,380
quality production,high-grade output,The other two wineries were planted in the 2000s when Maltese viticulture experienced a growth in quality production.,The other two wineries were planted in the 2000s when Maltese viticulture experienced a growth in high-grade output.,1,1029
security related issues,land safety matters,Canada has also started to cooperate on security related issues like border management and prevention of human trafficking.,Canada has also started to cooperate on land safety matters like border management and prevention of human trafficking.,1,1688
second duty,additional responsibility,"The second duty, in his words, is to ""put on the new man"" according to the image of God (Ephesians 4:24).","The additional responsibility, in his words, is to ""put on the new man"" according to the image of God (Ephesians 4:24).",1,84
formal office,legal appointment,"He doesn't get a formal office until season four in Eric Murphy's ""The Murphy Group"" corporation.","He doesn't get a legal appointment until season four in Eric Murphy's ""The Murphy Group"" corporation.",0,1677
broad view,expansive perspective,More studies need to be done using the dual control model to gain a more broad view of sexual orientation and sexual arousability.,More studies need to be done using the dual control model to gain a more expansive perspective of sexual orientation and sexual arousability.,1,329
another station,a separate airport,"another station that has newscast is kasw in phoenix, arizona during abc’s broadcast of good morning america.","a separate airport that has newscast is kasw in phoenix, arizona during abc’s broadcast of good morning america.",0,6
effective result,efficacious outcome,"But 90% of the colonial population lived outside the cities, with the effective result that Congress represented 80 to 90 percent of the population.","But 90% of the colonial population lived outside the cities, with the efficacious outcome that Congress represented 80 to 90 percent of the population.",0,745
bank's network,bank's security system,"The bank's network spans 58 countries with a large presence in Europe, the Americas, and Asia.","The bank's security system spans 58 countries with a large presence in Europe, the Americas, and Asia.",0,1553
decreased population,fewer public,A decreased population of M2 macrophages and an increased population of M1 macrophages is associated with chronic inflammation.,A fewer public of M2 macrophages and an increased population of M1 macrophages is associated with chronic inflammation.,0,914
past examinations,prior inspections,"These findings differ from past examinations, like the 2008 Morisake et al.","These findings differ from prior inspections, like the 2008 Morisake et al.",1,873
whole scene,complete segment,A huge Banyan tree on the southern margin of the reservoir provides shade and adds beauty to the whole scene.,A huge Banyan tree on the southern margin of the reservoir provides shade and adds beauty to the complete segment.,0,451
1992 return,1992 revival,In October 1996 he pleaded guilty and was sentenced to one year of probation for failure to file the 1992 return.,In October 1996 he pleaded guilty and was sentenced to one year of probation for failure to file the 1992 revival.,0,490
considerable heat,a great deal of pressure,"Experiments that require heating are surrounded by a cylindrical graphite or lanthanum chromite cylinder furnace, which can produce considerable heat by electrical resistance.","Experiments that require heating are surrounded by a cylindrical graphite or lanthanum chromite cylinder furnace, which can produce a great deal of pressure by electrical resistance.",0,1480
concentrated energy,focused power,"The structures are configured to direct the output from a large input area onto a small converter, where the concentrated energy generates photoelectricity.","The structures are configured to direct the output from a large input area onto a small converter, where the focused power generates photoelectricity.",1,287
strong competition,powerful opposition,"Agro processing, the creation of cereals and grains mixtures, in India is a large employer of women workers and strong competition can adversely affect them.","Agro processing, the creation of cereals and grains mixtures, in India is a large employer of women workers and powerful opposition can adversely affect them.",0,948
negative state,suboptimal frame,"When visited by friends, there was no indication to them that Cobain was in any negative state of mind.","When visited by friends, there was no indication to them that Cobain was in any suboptimal frame of mind.",1,1985
good dates,more favorable days,"Mike concocts several lies to get the good dates, fabricating the story that he is a wealthy shipping tycoon.","Mike concocts several lies to get the more favorable days, fabricating the story that he is a wealthy shipping tycoon.",1,1368
decent score,nice musical number,"Alastair Cook scored a decent score of 60, but not enough to get England out of trouble.","Alastair Cook scored a nice musical number of 60, but not enough to get England out of trouble.",0,1146
play structure,game method,"Well-hidden April Hill park contains a play structure, a soccer field, and a few trails leading to Woods Creek.","Well-hidden April Hill park contains a game method, a soccer field, and a few trails leading to Woods Creek.",0,705
one significant development,a singular noteworthy structure,one significant development which has become a popular high-rise landmark here is the spinnaker (building).,a singular noteworthy structure which has become a popular high-rise landmark here is the spinnaker (building).,1,1726
local levels,nearby amounts,"In addition to candidates for party membership, there were also candidates for party leadership groups from the local levels to the Presidium.","In addition to candidates for party membership, there were also candidates for party leadership groups from the nearby amounts to the Presidium.",0,1701
his/her field,their range,Each instructor is accomplished in his/her field - both as an artist and as an educator.,Each instructor is accomplished in their range - both as an artist and as an educator.,0,1628
high view,deep belief,"Lutheran churches retained ornate church interiors with a prominent crucifix, reflecting their high view of the real presence of Christ in Eucharist.","Lutheran churches retained ornate church interiors with a prominent crucifix, reflecting their deep belief of the real presence of Christ in Eucharist.",1,1599
absolute gift,outright blessing,"In England and Wales, the gift of an engagement ring is presumed to be an absolute gift to the fiancée.","In England and Wales, the gift of an engagement ring is presumed to be an outright blessing to the fiancée.",0,1538
larger cut,bigger incision,This method of breaking down the larger cut was creation of the flat iron steak as we know it today.,This method of breaking down the bigger incision was creation of the flat iron steak as we know it today.,0,1405
usual place,typical environment,"The gapa was worn in the usual place on the upper left breast above the pocket, but with a chain.","The gapa was worn in the typical environment on the upper left breast above the pocket, but with a chain.",0,1650
open book,unclosed text,The use of X-ray photography during a 1973 restoration showed a table in front of the man with an open book on it.,The use of X-ray photography during a 1973 restoration showed a table in front of the man with an unclosed text on it.,1,327
one theatre,an individual cinema,"His tragicomedy ""Chithram"" (1988) ran continuously for 58 weeks in one theatre, a record still unbroken in Malayalam cinema.","His tragicomedy ""Chithram"" (1988) ran continuously for 58 weeks in an individual cinema, a record still unbroken in Malayalam cinema.",1,442
last word,closing term,"Kraft later said, ""Schirra was exercising his commander’s right to have the last word, and that was that.""","Kraft later said, ""Schirra was exercising his commander’s right to have the closing term, and that was that.""",0,774
primary producer,principal generator,"After becoming a separate station and the primary producer of newscasts, WBUP re-branded its newscasts to ""ABC 10 News NOW"".","After becoming a separate station and the principal generator of newscasts, WBUP re-branded its newscasts to ""ABC 10 News NOW"".",0,1087
regular practice,daily application,"This was a regular practice during the Middle Ages in Sweden, until it was outlawed in 1841.","This was a daily application during the Middle Ages in Sweden, until it was outlawed in 1841.",0,1220
legal separation,sanctioned estrangement,For tramways the legal separation of a street running trackbed and an exclusive trackbed in urban traffic is given in § 16 BOStrab tramway regulations.,For tramways the sanctioned estrangement of a street running trackbed and an exclusive trackbed in urban traffic is given in § 16 BOStrab tramway regulations.,0,1635
quick passing,swift flow,"Started in 1939 with six players, the Hong Wah Kues became known for their speed and quick passing.","Started in 1939 with six players, the Hong Wah Kues became known for their speed and swift flow.",0,177
common basis,like categories,The two groups found a common basis for a new political movement in the widespread discontent with the two major parties.,The two groups found a like categories for a new political movement in the widespread discontent with the two major parties.,0,1322
weaver family,Ploceidae classification,"stan frequently rejects potential clients, turning away the weaver family (played by baldwin, keanan, and maher) when they inquire about funeral rates.","stan frequently rejects potential clients, turning away the Ploceidae classification (played by baldwin, keanan, and maher) when they inquire about funeral rates.",0,704
driving school,"""Driving School""",Parvathi goes to his driving school to study driving and falls in love with him.,"Parvathi goes to his ""Driving School"" to study driving and falls in love with him.",0,86
stock issue,standard matter,"Topicality, although a stock issue, is universally considered an off-case argument, because it deals directly with the plan text rather than the evidence behind it.","Topicality, although a standard matter, is universally considered an off-case argument, because it deals directly with the plan text rather than the evidence behind it.",1,1883
strong break,distinct stroke of luck,She got in front early with a strong break and beat Ollie's Candy by a half length.,She got in front early with a distinct stroke of luck and beat Ollie's Candy by a half length.,1,1947
economic function,profit-making purpose,"The NEP's stated goal was elimination of ""the identification of race with economic function"".","The NEP's stated goal was elimination of ""the identification of race with profit-making purpose"".",1,457
last charge,ultimate debit,There is a utilization goal (on Yui Rail) of 60% by 2024.The card expires 10 years after last charge or use of card.,There is a utilization goal (on Yui Rail) of 60% by 2024.The card expires 10 years after ultimate debit or use of card.,1,1828
ideal size,prime amount,"He is compared to Daryl Washington, because ""neither linebacker has the ideal size for their position, but they compensate with sideline-to-sideline speed"".","He is compared to Daryl Washington, because ""neither linebacker has the prime amount for their position, but they compensate with sideline-to-sideline speed"".",0,54
particular bond,distinct relationship,Changes in the character or quantity of a particular bond are assessed by measuring at a specific frequency over time.,Changes in the character or quantity of a distinct relationship are assessed by measuring at a specific frequency over time.,0,1501
better defense,superior opposition,"The level of play seemed to be evidenced by higher scoring, better defense, and higher shooting percentages.","The level of play seemed to be evidenced by higher scoring, superior opposition, and higher shooting percentages.",1,643
desired piece,favored item,"Social media, trusted recommendations through Facebook, Twitter and others, allow people find their desired piece of long-form journalism.","Social media, trusted recommendations through Facebook, Twitter and others, allow people find their favored item of long-form journalism.",0,677
store area,Holding zone,"Players who take the salt and run across the store area are declared ""nar"" () The players who get tagged become ""madeen"".","Players who take the salt and run across the Holding zone are declared ""nar"" () The players who get tagged become ""madeen"".",1,221
one push,a single thrust,"For alpine events, a skier is allowed one push, without running, from the starting position at the start of the race.","For alpine events, a skier is allowed a single thrust, without running, from the starting position at the start of the race.",1,113
specific condition,distinct ailment,"Although frequently described as a collapse of lung tissue, atelectasis is not synonymous with a pneumothorax, which is a more specific condition that features atelectasis.","Although frequently described as a collapse of lung tissue, atelectasis is not synonymous with a pneumothorax, which is a more distinct ailment that features atelectasis.",1,982
